tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,3,2887,0.94825,0.2209080074139251,0.05177293154499629,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,4,196,0.9455,0.0951546640691837,-0.5248367027106234,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,5,1,0.47975,1.1745079274560668,0.17660444658169228,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,6,1700,0.925,0.1889626816063552,-0.05460870971223536,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,7,2722,0.8445,0.1261886916006309,-0.017883388560218205,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,8,454,0.7945,0.030477346645848325,-0.24851226305595908,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,9,584,0.5475,0.020643202507885344,-0.12727732673289238,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,iid,10,30,1,0.0001,42,0,1600,0.9515,0.1092318514096659,-0.007552227579575549,11.406281329005278,5668320,2
rcv1,cocoa_plus,random_kout,iid,10,30,1,0.0001,42,1,1600,0.9465,0.18450670583691323,-0.10921364698278671,11.406281329005278,5668320,2
rcv1,cocoa_plus,random_kout,iid,10,30,1,0.0001,42,2,1600,0.958,0.11850099233826106,0.006283916363975212,11.406281329005278,5668320,2
rcv1,cocoa_plus,random_kout,iid,10,30,1,0.0001,42,3,1600,0.95425,0.1659286664173536,-0.0716714981170467,11.406281329005278,5668320,2
rcv1,cocoa_plus,random_kout,iid,10,30,1,0.0001,42,4,1600,0.951,0.189796739654646,-0.030551043046888576,11.406281329005278,5668320,2
