tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.638,1.2003448242481205,nan,21.71677554589815,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.5886,0.9370946694844907,nan,21.71677554589815,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.5886,0.9572777550430134,nan,21.71677554589815,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.7216,0.6756839454287278,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.7219,0.5886064292108134,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.7298,0.6194958647583166,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,3,793,0.7304,0.6794453568288299,nan,25.899278812742306,16318368,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.7295,0.6565564032737492,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.7216,0.7060243064770043,nan,25.899278812742306,16400784,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.6752,0.5405215840364719,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.7275,0.642424039453423,nan,25.899278812742306,16400784,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.675,0.8659488461623355,nan,25.899278812742306,16400784,2
covtype,bdsvm,random_kout,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.675,0.5261662577878189,nan,25.899278812742306,16483200,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,0,4000,0.7313,0.6302326883885275,nan,18.48203396249841,16483200,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,1,4000,0.731,0.663573895375744,nan,18.48203396249841,16483200,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,2,4000,0.7283,0.6281379946184862,nan,18.48203396249841,16483200,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,3,4000,0.7307,0.6493349889156684,nan,18.48203396249841,16318368,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,4,4000,0.7301,0.6159891540580803,nan,18.48203396249841,16483200,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,5,4000,0.731,0.6199142276542341,nan,18.48203396249841,16400784,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,6,4000,0.6796,0.6179345145014087,nan,18.48203396249841,16483200,2
